STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
997338,99999, 20050527,   62.5,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  12.4,24,  20.0, 999.9,   68.0*,  57.6*, 0.00I,999.9, 000000,
997338,99999, 20050528,   57.1,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   9.2,24,  27.0, 999.9,   64.0*,  54.3*, 0.00I,999.9, 000000,
997338,99999, 20050529,   59.7,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   6.4,24,   9.9, 999.9,   67.1*,  56.3*, 0.00I,999.9, 000000,
997338,99999, 20050530,   56.4,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   4.4,24,   9.9, 999.9,   61.9*,  54.0*, 0.00I,999.9, 000000,
997338,99999, 20050531,   55.0,23, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   7.7,23,  12.0, 999.9,   57.0*,  53.6*, 0.00I,999.9, 000000,
997338,99999, 20050601,   57.2,23, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   6.8,23,  13.0, 999.9,   59.9*,  54.7*, 0.00I,999.9, 000000,
997338,99999, 20050602,   58.3,17, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   6.7,17,  19.0, 999.9,   61.2*,  56.5*, 0.00I,999.9, 000000,
997338,99999, 20050603,   58.3,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,   9.2,24,  14.0, 999.9,   62.6*,  55.9*, 0.00I,999.9, 000000,
997338,99999, 20050604,   64.2,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  11.2,24,  25.1, 999.9,   71.4*,  58.1*, 0.00I,999.9, 000000,
997338,99999, 20050605,   73.8,22, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  18.3,22,  26.0, 999.9,   85.8*,  65.3*, 0.00I,999.9, 000000,
997338,99999, 20050606,   86.0, 4, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0,  16.3, 4,  20.0, 999.9,   87.1*,  84.9*, 0.00I,999.9, 000000,
